analysis_name,dataset_name,target_gene,clock_gene,significant,p_value,q_value,significant_after_fdr,effect_size_f2,effect_size_interpretation,significant_terms,tier
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Lgr5,Arntl,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Lgr5,Clock,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Lgr5,Per1,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Lgr5,Cry1,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Lgr5,Cry2,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Lgr5,Nr1d1,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Lgr5,Nr1d2,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Axin2,Per2,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Axin2,Arntl,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Axin2,Clock,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Axin2,Per1,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Axin2,Cry1,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Axin2,Cry2,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Axin2,Nr1d1,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Axin2,Nr1d2,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Cdkn1a,Per2,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Cdkn1a,Arntl,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Cdkn1a,Clock,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Cdkn1a,Per1,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Cdkn1a,Cry1,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Cdkn1a,Cry2,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Cdkn1a,Nr1d1,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Cdkn1a,Nr1d2,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Ccnb1,Per2,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Ccnb1,Arntl,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Ccnb1,Clock,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Ccnb1,Per1,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Ccnb1,Cry1,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Ccnb1,Cry2,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Ccnb1,Nr1d1,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Ccnb1,Nr1d2,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Cdk1,Per2,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Cdk1,Arntl,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Cdk1,Clock,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Cdk1,Per1,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Cdk1,Cry1,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Cdk1,Cry2,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Cdk1,Nr1d1,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Cdk1,Nr1d2,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Wee1,Per2,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Wee1,Arntl,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Wee1,Clock,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Wee1,Per1,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Wee1,Cry1,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Wee1,Cry2,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Wee1,Nr1d1,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Wee1,Nr1d2,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Tp53,Per2,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Tp53,Arntl,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Tp53,Clock,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Tp53,Per1,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Tp53,Cry1,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Tp53,Cry2,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Tp53,Nr1d1,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Tp53,Nr1d2,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Mdm2,Per2,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Mdm2,Arntl,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Mdm2,Clock,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Mdm2,Per1,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Mdm2,Cry1,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Mdm2,Cry2,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Mdm2,Nr1d1,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Mdm2,Nr1d2,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Atm,Per2,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Atm,Arntl,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Atm,Clock,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Atm,Per1,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Atm,Cry1,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Atm,Cry2,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Atm,Nr1d1,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Atm,Nr1d2,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Chek2,Per2,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Chek2,Arntl,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Chek2,Clock,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Chek2,Per1,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Chek2,Cry1,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Chek2,Cry2,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Chek2,Nr1d1,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Chek2,Nr1d2,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Bcl2,Per2,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Bcl2,Arntl,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Bcl2,Clock,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Bcl2,Per1,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Bcl2,Cry1,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Bcl2,Cry2,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Bcl2,Nr1d1,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Bcl2,Nr1d2,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Bax,Per2,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Bax,Arntl,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Bax,Clock,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Bax,Per1,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Bax,Cry1,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Bax,Cry2,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Bax,Nr1d1,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Bax,Nr1d2,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Hif1a,Per2,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Hif1a,Arntl,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Hif1a,Clock,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Hif1a,Per1,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Hif1a,Cry1,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Hif1a,Cry2,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Hif1a,Nr1d1,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Hif1a,Nr1d2,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Pparg,Per2,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Pparg,Arntl,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Pparg,Clock,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Pparg,Per1,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Pparg,Cry1,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Pparg,Cry2,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Pparg,Nr1d1,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Pparg,Nr1d2,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Sirt1,Per2,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Sirt1,Arntl,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Sirt1,Clock,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Sirt1,Per1,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Sirt1,Cry1,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Sirt1,Cry2,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Sirt1,Nr1d1,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Sirt1,Nr1d2,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Yap1,Per2,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Yap1,Arntl,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Yap1,Clock,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Yap1,Per1,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Yap1,Cry1,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Yap1,Cry2,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Yap1,Nr1d1,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Yap1,Nr1d2,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Tead1,Per2,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Tead1,Arntl,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Tead1,Clock,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Tead1,Per1,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Tead1,Cry1,FALSE,1,,FALSE,,,,EXPLORE
